GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bad-calculator,edu.pnu.badcalc,App,40,0,2,0,13,0,4,0,3,0
bad-calculator,edu.pnu.badcalc,Calculator,41,147,10,11,8,32,11,9,1,7
